x,lam
0.0,1.0
0.040100250626566414,1.006015037593985
0.08020050125313283,1.0120300751879698
0.12030075187969924,1.018045112781955
0.16040100250626566,1.02406015037594
0.20050125313283207,1.0300751879699248
0.24060150375939848,1.0360902255639097
0.2807017543859649,1.0421052631578946
0.3208020050125313,1.0481203007518798
0.3609022556390977,1.0541353383458647
0.40100250626566414,1.0601503759398496
0.44110275689223055,1.0661654135338345
0.48120300751879697,1.0721804511278195
0.5213032581453634,1.0781954887218046
0.5614035087719298,1.0842105263157895
0.6015037593984962,1.0902255639097744
0.6416040100250626,1.0962406015037593
0.681704260651629,1.1022556390977443
0.7218045112781954,1.1082706766917294
0.7619047619047619,1.1142857142857143
0.8020050125313283,1.1203007518796992
0.8421052631578947,1.1263157894736842
0.8822055137844611,1.132330827067669
0.9223057644110275,1.1383458646616542
0.9624060150375939,1.1443609022556391
1.0025062656641603,1.150375939849624
1.0426065162907268,1.156390977443609
1.0827067669172932,1.1624060150375939
1.1228070175438596,1.168421052631579
1.162907268170426,1.174436090225564
1.2030075187969924,1.1804511278195489
1.2431077694235588,1.1864661654135338
1.2832080200501252,1.1924812030075187
1.3233082706766917,1.1984962406015038
1.363408521303258,1.2045112781954888
1.4035087719298245,1.2105263157894737
1.443609022556391,1.2165413533834586
1.4837092731829573,1.2225563909774435
1.5238095238095237,1.2285714285714286
1.5639097744360901,1.2345864661654136
1.6040100250626566,1.2406015037593985
1.644110275689223,1.2466165413533834
1.6842105263157894,1.2526315789473683
1.7243107769423558,1.2586466165413532
1.7644110275689222,1.2646616541353384
1.8045112781954886,1.2706766917293233
1.844611528822055,1.2766917293233082
1.8847117794486214,1.2827067669172931
1.9248120300751879,1.2887218045112783
1.9649122807017543,1.2947368421052632
2.0050125313283207,1.300751879699248
2.045112781954887,1.306766917293233
2.0852130325814535,1.312781954887218
2.12531328320802,1.3187969924812029
2.1654135338345863,1.324812030075188
2.2055137844611528,1.330827067669173
2.245614035087719,1.3368421052631578
2.2857142857142856,1.3428571428571427
2.325814536340852,1.348872180451128
2.3659147869674184,1.3548872180451128
2.406015037593985,1.3609022556390977
2.4461152882205512,1.3669172932330826
2.4862155388471177,1.3729323308270676
2.526315789473684,1.3789473684210525
2.5664160401002505,1.3849624060150376
2.606516290726817,1.3909774436090225
2.6466165413533833,1.3969924812030075
2.6867167919799497,1.4030075187969924
2.726817042606516,1.4090225563909775
2.7669172932330826,1.4150375939849624
2.807017543859649,1.4210526315789473
2.8471177944862154,1.4270676691729323
2.887218045112782,1.4330827067669172
2.927318295739348,1.439097744360902
2.9674185463659146,1.4451127819548872
3.007518796992481,1.4511278195488722
3.0476190476190474,1.457142857142857
3.087719298245614,1.463157894736842
3.1278195488721803,1.4691729323308271
3.1679197994987467,1.475187969924812
3.208020050125313,1.481203007518797
3.2481203007518795,1.4872180451127819
3.288220551378446,1.4932330827067668
3.3283208020050123,1.4992481203007517
3.3684210526315788,1.5052631578947366
3.408521303258145,1.5112781954887218
3.4486215538847116,1.5172932330827067
3.488721804511278,1.5233082706766918
3.5288220551378444,1.5293233082706768
3.568922305764411,1.5353383458646617
3.6090225563909772,1.5413533834586466
3.6491228070175437,1.5473684210526315
3.68922305764411,1.5533834586466164
3.7293233082706765,1.5593984962406013
3.769423558897243,1.5654135338345863
3.8095238095238093,1.5714285714285714
3.8496240601503757,1.5774436090225563
3.889724310776942,1.5834586466165415
3.9298245614035086,1.5894736842105264
3.969924812030075,1.5954887218045113
4.010025062656641,1.6015037593984962
4.050125313283208,1.6075187969924811
4.090225563909774,1.613533834586466
4.130325814536341,1.619548872180451
4.170426065162907,1.6255639097744359
4.2105263157894735,1.631578947368421
4.25062656641604,1.637593984962406
4.290726817042606,1.643609022556391
4.330827067669173,1.649624060150376
4.370927318295739,1.655639097744361
4.4110275689223055,1.6616541353383458
4.451127819548872,1.6676691729323307
4.491228070175438,1.6736842105263157
