t,mean,sd,band
0.0,0.0,0.0,0.0
0.002,-0.005285923810965252,0.04626742650268596,0.044721359549995794
0.004,-0.006460131821938958,0.06503769460361684,0.06324555320336758
0.006,-0.015127248725992642,0.08311962697816244,0.07745966692414834
0.008,-0.014029944603275118,0.10332137174839227,0.08944271909999159
0.01,-0.00800615498435413,0.11729929021624101,0.1
0.012,-0.015911967116726544,0.12690025141036876,0.10954451150103323
0.014,-0.01890862939911742,0.13994849784252045,0.11832159566199232
0.016,-0.019931011377984763,0.13904526140181087,0.12649110640673517
0.018000000000000002,-0.026711573012440055,0.14463396776261891,0.1341640786499874
0.02,-0.020583213258241247,0.15434829279863232,0.1414213562373095
0.022,-0.02265831017923915,0.16277523424933446,0.14832396974191325
0.024,-0.027119242856912487,0.1731306967300755,0.15491933384829668
0.026000000000000002,-0.03461026913397411,0.1766796354802811,0.161245154965971
0.028,-0.04001996454730568,0.17675557868103486,0.1673320053068151
0.03,-0.04225451937290136,0.1820275944913765,0.17320508075688773
0.032,-0.04184523519653187,0.19048037388738304,0.17888543819998318
0.034,-0.042675947672967354,0.19325747228666948,0.18439088914585774
0.036000000000000004,-0.0443037887301364,0.19419498835413365,0.18973665961010278
0.038,-0.03690282539120752,0.20360886996368524,0.19493588689617927
0.04,-0.03960067097188786,0.21126123109906936,0.2
0.042,-0.0405354960452031,0.21902781775901778,0.20493901531919198
0.044,-0.04563914954800809,0.2263734188136237,0.20976176963403032
0.046,-0.036634845660750794,0.23668182227105405,0.21447610589527216
0.048,-0.03850669777696549,0.250116925670474,0.21908902300206645
0.05,-0.031411112242658704,0.24954038053703054,0.22360679774997896
0.052000000000000005,-0.03800935799054384,0.24675727969139835,0.2280350850198276
0.054,-0.02472146763420168,0.24591528706789686,0.232379000772445
0.056,-0.02607362276960499,0.25158412568094013,0.23664319132398465
0.058,-0.033693795530986885,0.25769263880131943,0.24083189157584592
0.06,-0.027464648333984563,0.25584795255866555,0.2449489742783178
0.062,-0.022009776972838443,0.25826623511657476,0.24899799195977465
0.064,-0.00960012666432917,0.2693705420866477,0.25298221281347033
0.066,-0.00600699420392111,0.2756136968302835,0.2569046515733026
0.068,-4.484129280597262e-05,0.27560739772860166,0.260768096208106
0.07,-0.005356876112613213,0.2720495327250655,0.2645751311064591
0.07200000000000001,-0.0073859070827565175,0.2759910750333537,0.2683281572999748
0.074,-0.011052096516395124,0.28204718625454084,0.2720294101747089
0.076,-0.007469829258826268,0.29040613025694667,0.27568097504180444
